United Arab Emirates,7995126,8587256
United Kingdom,8411569,9552110
United Republic of Tanzania,384567,509166
United States of America,48178877,50661149
United States Virgin Islands,56721,56745
Uruguay,78799,81482
Uzbekistan,1170873,1168384
Vanuatu,3187,3245
Venezuela (Bolivarian Republic of),1404448,1375690
Viet Nam,72793,76104
Wallis and Futuna Islands,1052,1022
Western Sahara,5179,5384
Yemen,379882,385628
Zambia,132107,170249
Zimbabwe,400482,411257
