Country or Area,Alpha-3 code,Days between first COVID-19 case and border closure,First border closure announced,First COVID-19 reported,Latitude (average),Longitude (average)
Romania,ROU,25,22/3/2020,26/2/2020,46,25
Jordan,JOR,15,17/3/2020,2/3/2020,31,36
San Marino,SMR,21,20/3/2020,28/2/2020,43.7667,12.4167
South Sudan,SSD,-14,23/3/2020,6/4/2020,8,30
Somalia,SOM,24,9/4/2020,16/3/2020,10,49
Fiji,FJI,-1,18/3/2020,19/3/2020,-18,175
Papua New Guinea,PNG,-40,9/2/2020,20/3/2020,-6,147
Israel,ISR,-18,3/2/2020,21/2/2020,31.5,34.75
Malaysia,MYS,43,8/3/2020,25/1/2020,2.5,112.5
Mexico,MEX,22,21/3/2020,28/2/2020,23,-102
Angola,AGO,6,27/3/2020,21/3/2020,-12.5,18.5
Sri Lanka,LKA,60,27/3/2020,27/1/2020,7,81
Gambia,GMB,6,24/3/2020,18/3/2020,13.4667,-16.5667
Philippines,PHL,-11,19/1/2020,30/1/2020,13,122
State of Palestine,PSE,10,15/3/2020,5/3/2020,32,35.25
Montenegro,MNE,-1,16/3/2020,17/3/2020,42,19
Cameroon,CMR,12,18/3/2020,6/3/2020,6,12
France,FRA,54,18/3/2020,24/1/2020,46,2
Burkina Faso,BFA,10,21/3/2020,11/3/2020,13,-2
Czechia,CZE,12,13/3/2020,1/3/2020,49.75,15.5
Uruguay,URY,1,16/3/2020,15/3/2020,-33,-56
Georgia,GEO,18,15/3/2020,26/2/2020,42,43.5
Lesotho,LSO,-45,30/3/2020,14/5/2020,-29.5,28.5
Poland,POL,10,15/3/2020,5/3/2020,52,20
Germany,DEU,48,16/3/2020,28/1/2020,51,9
Panama,PAN,3,13/3/2020,10/3/2020,9,-80
Congo,COG,6,21/3/2020,15/3/2020,-1,15
Equatorial Guinea,GNQ,1,15/3/2020,14/3/2020,2,10
Democratic Republic of the Congo,COD,14,25/3/2020,11/3/2020,0,25
Dominica,DMA,2,26/3/2020,24/3/2020,15.4167,-61.3333
Myanmar,MMR,1,25/3/2020,24/3/2020,22,98
Yemen,YEM,-27,14/3/2020,10/4/2020,15,48
Togo,TGO,13,20/3/2020,7/3/2020,8,1.1667
Grenada,GRD,-7,16/3/2020,23/3/2020,12.1167,-61.6667
Albania,ALB,5,14/3/2020,9/3/2020,41,20
Haiti,HTI,0,20/3/2020,20/3/2020,19,-72.4167
Spain,ESP,44,15/3/2020,31/1/2020,40,-4
Morocco,MAR,12,14/3/2020,2/3/2020,32,-5
Namibia,NAM,10,24/3/2020,14/3/2020,-22,17
Switzerland,CHE,15,11/3/2020,25/2/2020,47,8
Botswana,BWA,-8,24/3/2020,1/4/2020,-22,24
Lithuania,LTU,17,16/3/2020,28/2/2020,56,24
Algeria,DZA,21,17/3/2020,25/2/2020,28,3
Liberia,LBR,13,30/3/2020,17/3/2020,6.5,-9.5
Serbia,SRB,9,15/3/2020,6/3/2020,44,21
Singapore,SGP,50,13/3/2020,23/1/2020,1.3667,103.8
Eswatini,SWZ,12,26/3/2020,14/3/2020,-26.5,31.5
Ukraine,UKR,10,13/3/2020,3/3/2020,49,32
Trinidad and Tobago,TTO,9,22/3/2020,13/3/2020,11,-61
