Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	2017	2018	2019	2020	2021	2022	2023	2024	Estimates Start After
Samoa	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	0.841	0.862	0.905	0.960	0.997	1.038	1.080	1.125	2018
San Marino	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1.528	1.638	1.591	1.621	1.671	1.717	1.763	1.812	2017
São Tomé and Príncipe	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	0.376	0.423	0.430	0.463	0.499	0.541	0.584	0.630	2017
Saudi Arabia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	688.586	786.522	779.289	783.337	800.304	829.134	863.306	902.557	2018
Senegal	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	20.933	23.498	23.940	25.768	28.319	31.304	35.952	39.708	2018
Serbia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	44.120	50.509	51.523	55.437	59.947	64.644	69.687	75.181	2018
Seychelles	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1.503	1.583	1.644	1.670	1.783	1.882	1.983	2.080	2017
Sierra Leone	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	3.729	4.082	4.229	4.405	4.604	4.854	5.156	5.477	2017
Singapore	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	338.401	364.139	362.818	369.627	383.828	401.187	420.042	440.825	2018
Slovak Republic	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	95.821	106.573	106.552	111.874	118.745	125.383	132.009	138.946	2018
Slovenia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	48.545	54.059	54.154	56.854	60.238	63.422	66.668	70.092	2018
Solomon Islands	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1.284	1.378	1.440	1.532	1.637	1.747	1.877	2.008	2018
Somalia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	4.509	4.721	4.958	5.218	5.507	5.816	6.143	6.488	2018
South Africa	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	349.433	368.135	358.839	369.854	383.900	399.697	416.432	434.421	2018
South Sudan	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	3.438	4.583	3.681	3.355	3.470	4.081	4.087	4.219	2017
Spain	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1,317.104	1,427.533	1,397.870	1,440.399	1,503.508	1,564.589	1,626.803	1,695.199	2018
Sri Lanka	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	88.013	88.901	86.566	92.111	98.976	106.384	114.456	123.445	2018
St. Kitts and Nevis	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	0.942	0.980	1.032	1.087	1.140	1.192	1.249	1.309	2018
St. Lucia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1.817	1.922	1.992	2.103	2.211	2.309	2.390	2.475	2018
St. Vincent and the Grenadines	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	0.792	0.811	0.856	0.893	0.933	0.973	1.016	1.060	2018
Sudan	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	45.944	34.282	30.873	33.690	33.929	34.343	34.887	35.480	2016
Suriname	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	3.069	3.427	3.774	4.162	4.357	4.706	4.931	5.184	2017
Sweden	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	540.545	556.073	528.929	540.785	567.670	598.910	632.457	669.684	2018
Switzerland	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	680.029	705.546	715.360	749.424	782.014	816.372	852.436	891.274	2017
Syria	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2010
Taiwan Province of China	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	574.895	589.906	586.104	603.031	635.053	670.153	707.257	746.023	2018
Tajikistan	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	7.144	7.520	8.152	8.632	9.183	9.732	10.253	10.818	2017
Tanzania	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	53.227	56.852	62.224	67.241	72.490	78.356	84.978	92.226	2018
Thailand	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	455.322	504.928	529.177	557.309	590.370	626.327	664.761	700.151	2018
Timor-Leste	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	2.487	2.746	2.938	3.132	3.062	2.945	3.269	3.631	2017
Togo	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	4.801	5.358	5.502	5.995	6.559	7.169	7.832	8.568	2016
Tonga	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	0.470	0.488	0.488	0.509	0.527	0.545	0.565	0.587	2018
Trinidad and Tobago	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	22.250	22.525	22.607	23.251	24.170	25.175	26.239	27.414	2017
Tunisia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	39.817	39.895	38.732	39.610	37.971	38.461	41.205	44.791	2017
Turkey	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	852.648	771.274	743.708	813.810	904.556	978.755	1,036.059	1,099.486	2018
Turkmenistan	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	37.926	40.761	46.674	54.226	60.651	67.009	74.070	81.907	2017
Tuvalu	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	0.040	0.042	0.042	0.046	0.049	0.053	0.057	0.060	2015
Uganda	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	26.464	28.116	30.666	33.930	37.100	41.021	44.570	50.928	2018
Ukraine	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	112.125	130.857	150.401	161.872	172.226	182.522	193.315	204.485	2018
United Arab Emirates	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	377.701	414.179	405.771	414.020	426.803	442.867	461.438	482.174	2017
United Kingdom	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	2,640.067	2,828.833	2,743.586	2,716.534	2,806.243	2,911.119	3,024.981	3,149.849	2018
United States	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	19,519.400	20,580.250	21,439.453	22,321.762	23,180.283	24,013.801	24,881.411	25,793.419	2018
Uruguay	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	59.546	59.651	59.918	62.917	66.885	69.496	72.661	75.854	2018
Uzbekistan	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	58.147	50.485	60.490	70.156	79.887	89.851	101.155	113.366	2018
Vanuatu	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	0.880	0.928	0.951	1.003	1.056	1.114	1.176	1.242	2017
Venezuela	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	143.841	98.437	70.140	62.921	59.681	n/a	n/a	n/a	2018
Vietnam	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	220.376	241.272	261.637	284.847	308.628	334.500	363.034	394.888	2018
Yemen	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	24.561	27.591	29.855	23.032	24.372	26.584	28.063	29.033	2017
Zambia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	25.868	26.720	23.946	23.342	23.415	23.636	23.951	24.401	2017
Zimbabwe	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	21.890	20.997	12.818	12.868	13.468	14.319	15.113	16.004	2015

International Monetary Fund, World Economic Outlook Database, October 2019
