
,,ENTERPRISE SIZE,"All enterprises","    Micro-enterprises (0-9 employees)","  More than 10 employees","    Small enterprises (10-49 employees)","    Medium enterprises (50-249 employees)"
"ECONOMY","USE OF ICT","YEAR",
"Indonesia","    B7: Proportion of businesses receiving orders over the Internet","2015",31.15,8.1,41.39,31.67,56.28
"Indonesia","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Ireland","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..",32.1818,27.9062,50.6258
"Ireland","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..",30.2539,26.3052,46.9982
"Italy","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..",9.951000000000001,9.0083,15.1158
"Italy","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..",11.0193,10.0247,16.4785
"Japan","    B7: Proportion of businesses receiving orders over the Internet","2015",23.04,"..","..","..",21.42
"Japan","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Jordan","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Jordan","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Kazakhstan","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Kazakhstan","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Korea, Republic of","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Korea, Republic of","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Kyrgyzstan","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Kyrgyzstan","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Latvia","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..",9.951599999999999,8.3743,16.223
"Latvia","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..",10.2335,9.128299999999999,14.4353
"Lebanon","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Lebanon","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Lesotho","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Lesotho","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Lithuania","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..",18.9655,17.6222,24.3553
"Lithuania","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..",19.6424,18.274,24.7852
"Luxembourg","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..",10.3452,8.5852,15.5929
"Luxembourg","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..",14.7992,13.5956,18.9408
"Malta","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..",19.1187,15.823,28.1702
"Malta","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..",22.8285,19.4577,33.2385
"Mauritius","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Mauritius","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Mexico","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Mexico","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Mongolia","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Mongolia","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Netherlands","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..",24.8818,23.0506,30.411
"Netherlands","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..",25.299,23.0668,32.2001
"New Zealand","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"New Zealand","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Norway","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..",28.8304,27.17,37.0247
"Norway","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..",27.6737,25.9075,36.7047
"Oman","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Oman","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Pakistan","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Pakistan","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Panama","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Panama","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Paraguay","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Paraguay","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Philippines","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Philippines","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Poland","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..",11.7721,9.7684,18.5697
"Poland","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..",12.38,10.2214,18.7955
"Portugal","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..",19.7368,17.577,29.2915
"Portugal","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..",18.8001,16.9042,26.4222
"Qatar","    B7: Proportion of businesses receiving orders over the Internet","2015",11.5,5.7,19.76,18.4,22.2
"Qatar","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Republic of Moldova","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Republic of Moldova","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Romania","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..",7.9587,7.211,10.0699
"Romania","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..",7.4183,6.6176,9.999499999999999
"Russian Federation","    B7: Proportion of businesses receiving orders over the Internet","2015",22.1,"..","..","..",".."
"Russian Federation","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Senegal","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Senegal","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Serbia","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Serbia","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Serbia and Montenegro","    B7: Proportion of businesses receiving orders over the Internet","2015","_","_","_","_","_"
"Serbia and Montenegro","    B7: Proportion of businesses receiving orders over the Internet","2016","_","_","_","_","_"
"Singapore","    B7: Proportion of businesses receiving orders over the Internet","2015",48.34,43.99,62.67,61.49,65.79000000000001
"Singapore","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Slovakia","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..",15.494,13.6132,20.3222
"Slovakia","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..",15.3238,12.7975,21.4163
"Slovenia","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..",21.8871,18.8821,30.2657
"Slovenia","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..",20.3054,18.4475,23.1518
"Spain","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..",17.9355,15.8551,27.6884
"Spain","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..",20.5731,18.6774,28.6455
"State of Palestine","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"State of Palestine","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Suriname","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Suriname","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Sweden","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..",28.364,25.2785,42.3552
"Sweden","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..",28.2337,25.547,39.9623
"Switzerland","    B7: Proportion of businesses receiving orders over the Internet","2015",21.55,19.57,"..","..",20.67
"Switzerland","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"TFYR of Macedonia","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..",3.5549,2.9278,5.4723
"TFYR of Macedonia","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..",7.0722,6.3847,9.4907
"Thailand","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Thailand","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Tunisia","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Tunisia","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"Turkey","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..",12.3598,11.4867,15.109
"Turkey","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..",11.9387,11.4283,12.6269
"Ukraine","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Ukraine","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"United Arab Emirates","    B7: Proportion of businesses receiving orders over the Internet","2015",22.41,"..",22.41,22.7,20
"United Arab Emirates","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
"United Kingdom","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..",22.869,20.7813,31.245
"United Kingdom","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..",21.5341,19.3676,29.4995
"Uruguay","    B7: Proportion of businesses receiving orders over the Internet","2015","..","..","..","..",".."
"Uruguay","    B7: Proportion of businesses receiving orders over the Internet","2016","..","..","..","..",".."
